service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
36238,1,1,1,1,1,0,0,20130618,20130831
38253,1,1,1,1,1,1,1,20130618,20130831
38742,1,1,1,1,1,0,0,20130618,20130831
38754,1,1,1,1,1,0,0,20130618,20130831
38824,0,0,0,0,0,1,0,20130618,20130831
38827,0,0,0,0,0,0,1,20130618,20130831
38832,0,0,0,0,0,1,0,20130618,20130831
38835,0,0,0,0,0,0,1,20130618,20130831
38881,1,1,1,1,1,0,0,20130618,20130831
36479,1,1,1,1,1,0,0,20130618,20130831
38501,0,0,0,0,0,1,0,20130618,20130831
38504,0,0,0,0,0,0,1,20130618,20130831
16233,0,0,0,0,0,0,1,20130618,20130831
36489,0,0,0,0,0,1,0,20130618,20130831
16092,1,1,1,1,1,0,0,20130618,20130831
39389,0,0,0,0,0,0,1,20130618,20130831
38274,1,1,1,1,1,1,1,20130618,20130831
26949,0,0,0,0,0,0,1,20130618,20130831
26656,1,1,1,1,1,0,0,20130618,20130831
14741,1,1,1,1,1,0,0,20130618,20130831
36384,0,0,0,0,0,1,0,20130618,20130831
28960,0,0,0,0,0,0,1,20130618,20130831
16203,0,0,0,0,0,1,0,20130618,20130831
