trip_id,start_time,end_time,headway_secs,exact_times
36237,07:00:00,09:30:00,120,0
38880,05:00:00,24:30:00,180,0
38888,05:00:00,24:00:00,180,0
38895,05:00:00,24:30:00,180,0
38898,05:00:00,24:30:00,180,0
38904,06:00:00,22:00:00,240,0
38911,05:00:00,24:45:00,240,0
38962,05:00:00,24:00:00,300,0
38975,05:00:00,24:00:00,300,0
39280,05:00:00,24:00:00,240,0
39283,05:00:00,24:00:00,240,0
39344,05:00:00,23:30:00,300,0
39317,05:00:00,24:45:00,240,0
39337,05:00:00,23:30:00,300,0
38870,05:00:00,24:30:00,120,0
38741,05:00:00,24:00:00,240,0
38875,05:00:00,24:30:00,120,0
38811,06:00:00,24:00:00,300,0
38752,05:00:00,24:00:00,240,0
38877,05:00:00,24:30:00,120,0
38871,05:00:00,24:30:00,120,0
38891,05:00:00,24:00:00,240,0
38882,05:00:00,24:00:00,240,0
38899,05:00:00,24:30:00,240,0
38896,05:00:00,24:00:00,240,0
38979,06:00:00,24:00:00,360,0
38914,05:00:00,24:00:00,300,0
39281,05:45:00,24:00:00,300,0
38956,06:00:00,24:00:00,360,0
39285,06:00:00,24:00:00,360,0
39284,05:45:00,24:00:00,300,0
39346,05:00:00,23:30:00,360,0
38872,05:30:00,24:00:00,180,0
39318,05:00:00,24:00:00,300,0
39341,05:00:00,23:30:00,360,0
38884,05:30:00,23:30:00,300,0
38893,05:30:00,23:30:00,300,0
38826,07:00:00,24:00:00,360,0
38879,05:30:00,24:00:00,180,0
38931,05:30:00,23:00:00,360,0
38969,06:00:00,23:30:00,480,0
38897,05:30:00,23:30:00,300,0
38901,05:30:00,23:30:00,300,0
39319,05:30:00,23:00:00,360,0
39342,05:30:00,23:15:00,420,0
38981,06:00:00,23:30:00,480,0
39282,06:00:00,24:00:00,360,0
38866,16:00:00,23:00:00,240,0
38833,07:00:00,24:00:00,360,0
38783,06:00:00,24:00:00,300,0
39349,05:30:00,23:15:00,420,0
38836,04:30:00,24:00:00,270,0
38869,11:00:00,16:00:00,300,0
38868,04:30:00,11:00:00,240,0
38867,16:00:00,23:00:00,240,0
38834,04:30:00,24:00:00,270,0
38876,05:00:00,23:00:00,240,0
38874,05:30:00,22:00:00,300,0
38873,05:30:00,22:00:00,300,0
38865,11:00:00,16:00:00,300,0
38861,04:30:00,11:00:00,240,0
38885,04:30:00,24:00:00,270,0
38878,05:00:00,23:00:00,240,0
38890,04:30:00,24:00:00,600,0
38894,06:15:00,24:00:00,480,0
38892,06:15:00,24:00:00,480,0
38998,04:30:00,08:00:00,540,0
38883,04:30:00,24:00:00,270,0
38887,04:50:00,24:00:00,600,0
38886,04:50:00,24:00:00,600,0
38889,04:30:00,24:00:00,600,0
39003,04:30:00,24:00:00,900,0
38971,04:30:00,06:00:00,900,0
39325,21:00:00,24:00:00,660,0
39330,15:00:00,20:00:00,390,0
38978,06:00:00,21:00:00,270,0
38982,21:00:00,25:00:00,900,0
38991,08:00:00,21:00:00,240,0
38994,21:00:00,25:00:00,900,0
39322,21:00:00,24:00:00,660,0
39321,06:00:00,21:00:00,240,0
39324,06:00:00,21:00:00,240,0
39323,04:30:00,06:00:00,750,0
39334,21:00:00,23:00:00,600,0
39332,20:00:00,22:00:00,720,0
39320,04:30:00,06:00:00,750,0
39335,04:45:00,21:00:00,230,0
39336,21:00:00,23:00:00,600,0
39333,04:45:00,21:00:00,230,0
39529,04:45:00,06:00:00,720,0
39530,06:00:00,11:00:00,420,0
39327,15:00:00,20:00:00,390,0
39326,13:00:00,15:00:00,540,0
39329,13:00:00,15:00:00,540,0
39328,20:00:00,22:00:00,720,0
38906,07:00:00,20:00:00,300,0
38907,20:00:00,24:00:00,840,0
38903,20:00:00,24:00:00,840,0
38905,04:30:00,07:00:00,780,0
38900,04:30:00,07:00:00,780,0
38902,07:00:00,20:00:00,300,0
39531,11:00:00,13:00:00,900,0
39292,21:00:00,25:00:00,900,0
38916,04:30:00,06:00:00,900,0
38917,06:00:00,24:00:00,720,0
38913,09:00:00,21:00:00,510,0
38915,21:00:00,24:00:00,1080,0
38910,21:00:00,24:00:00,1080,0
38912,05:30:00,09:00:00,600,0
38908,05:30:00,09:00:00,600,0
38909,09:00:00,21:00:00,510,0
39294,06:00:00,21:00:00,270,0
39293,04:30:00,06:00:00,900,0
39289,21:00:00,25:00:00,900,0
39286,04:00:00,24:00:00,900,0
39287,04:30:00,08:00:00,540,0
39288,08:00:00,21:00:00,240,0
38919,06:00:00,24:00:00,720,0
38918,04:30:00,06:00:00,900,0
39306,04:30:00,24:00:00,300,0
39305,04:30:00,24:00:00,600,0
39304,04:30:00,24:00:00,600,0
39355,05:00:00,07:00:00,720,0
39303,04:30:00,24:00:00,420,0
39302,04:30:00,24:00:00,420,0
39353,07:00:00,20:00:00,330,0
39350,06:00:00,21:00:00,360,0
39354,20:00:00,24:00:00,810,0
39352,05:00:00,07:00:00,720,0
39357,20:00:00,24:00:00,810,0
39356,07:00:00,20:00:00,330,0
38929,08:00:00,21:00:00,420,0
38927,05:00:00,08:00:00,840,0
38941,08:00:00,21:00:00,420,0
38938,05:00:00,08:00:00,840,0
39340,20:00:00,24:00:00,810,0
39307,04:30:00,24:00:00,300,0
39338,04:30:00,07:00:00,720,0
39345,07:00:00,20:00:00,330,0
39343,04:30:00,07:00:00,720,0
39339,07:00:00,20:00:00,330,0
39351,06:00:00,21:00:00,360,0
39348,20:00:00,24:00:00,810,0
39300,09:00:00,21:00:00,360,0
39301,21:00:00,24:00:00,900,0
39309,05:00:00,24:00:00,420,0
39310,05:00:00,23:00:00,480,0
39311,05:00:00,23:00:00,480,0
39358,04:50:00,08:00:00,900,0
39312,04:45:00,23:00:00,480,0
39313,04:45:00,23:00:00,480,0
38933,21:00:00,24:00:00,1200,0
38944,21:00:00,24:00:00,1200,0
38947,06:00:00,24:00:00,660,0
39295,04:30:00,24:00:00,900,0
39296,05:00:00,09:00:00,690,0
39297,09:00:00,21:00:00,420,0
39298,21:00:00,24:00:00,720,0
39299,05:00:00,09:00:00,690,0
37773,19:00:00,22:00:00,1740,0
39362,08:00:00,21:00:00,330,0
39360,21:00:00,24:00:00,900,0
39359,08:00:00,21:00:00,330,0
37593,18:30:00,23:00:00,2580,0
37592,05:55:00,18:30:00,1980,0
37586,05:55:00,18:30:00,1980,0
37587,18:30:00,23:00:00,2580,0
39363,21:00:00,24:00:00,900,0
39308,05:00:00,24:00:00,420,0
39361,04:50:00,08:00:00,900,0
39316,06:00:00,24:00:00,660,0
39365,05:00:00,21:00:00,420,0
39364,05:00:00,21:00:00,420,0
