agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_bikes_allowed,route_id
MB,1,Indios Verdes - El Caminero,Insurgentes,3,,d40d0d,,0,ROUTE_18226
MB,2,Tepalcates - Tacubaya,Eje 4 Sur,3,,8d1a96,,0,ROUTE_36490
MB,3,Tenayuca - Etiopía,Eje 1 Poniente,3,,13a810,,0,ROUTE_36644
MB,4,Centro Histórico - Buenavista - San Lázaro - AICM T1 y T2,Centro Histórico de la Ciudad de México circuitos encontrados y ruta al Aeropuerto,3,,ff9a03,,0,ROUTE_36712
METRO,1,Pantitlán -- Observatorio,,1,,f94f8e,,0,ROUTE_14243
METRO,2,Cuatro Caminos -- Tasqueña,,1,,0072c6,,0,ROUTE_14244
METRO,3,Indios Verdes -- Universidad,,1,,ad9b0c,,0,ROUTE_14245
METRO,4,Santa Anita -- Martín Carrera,,1,,7fbcaa,,0,ROUTE_14246
METRO,5,Politécnico -- Pantitlán,,1,,f9d616,,0,ROUTE_14247
METRO,6,El Rosario -- Martín Carrera,,1,,d81e05,,0,ROUTE_14248
METRO,7,El Rosario -- Barranca del Muerto,,1,,e87511,,0,ROUTE_14249
METRO,8,Garibaldi -- Constitución de 1917,,1,,009e60,,0,ROUTE_14250
METRO,9,Pantitlán -- Tacubaya,,1,,512826,,0,ROUTE_14251
METRO,A,Pantitlán -- La Paz ,,1,,a02d96,,0,ROUTE_14252
METRO,B,Ciudad Azteca -- Buenavista,,1,,008751,,0,ROUTE_14253
METRO,12,Tláhuac -- Mixcoac,,1,,dadb35,,0,ROUTE_14254
RTP,46-C,Lienzo Charro/Santa Catarina - Central de Abasto, RUTA TRAZADA,3,,f27b0d,,0,ROUTE_15179
RTP,1-D,Metro Santa Martha -  Metro Mixcoac,RUTA TRAZADA,3,,f27b0d,,0,ROUTE_15196
RTP,107-B,Metro Martín Carrera - Metro Tacuba por Ceylán,RUTA TRAZADA,3,,f27b0d,,0,ROUTE_15209
RTP,168,Arenal 4ta. Sección - Metro Pantitlán,RUTA TRAZADA,3,,f27b0d,,0,ROUTE_15334
RTP,162-D,Santa Catarina - Metro Universidad,RUTA TRAZADA,3,,f27b0d,,0,ROUTE_15374
RTP,23,Colonia El Tepetatal (El Charco) - Metro La Raza,RUTA TRAZADA,3,,f27b0d,,0,ROUTE_15508
RTP,57,Metro Constitución de 1917 - Metro Cuatro Caminos,RUTA TRAZADA,3,,f27b0d,,0,ROUTE_15576
RTP,163-B,San Miguel Teotongo/Avisadero -  Metro Zaragoza,RUTA TRAZADA,3,,f27b0d,,0,ROUTE_15739
RTP,47-A,Alameda Oriente - Xochimilco/Bosque de Nativitas ,RUTA TRAZADA,3,,f27b0d,,0,ROUTE_15823
RTP,39-A,Bosque de Nativitas - Metro San Lázaro Por Cafetales,RUTA TRAZADA,3,,f27b0d,,0,ROUTE_15920
RTP,25,Zacatenco - Metro Potrero,RUTA TRAZADA,3,,f27b0d,,0,ROUTE_15958
RTP,107,Metro Rosario - Metro Tacuba,RUTA TRASADA,3,,f27b0d,,0,ROUTE_15969
RTP,11,Aragón - Metro Chapultepec por la Villa,RUTA TRAZADA,3,,f27b0d,,0,ROUTE_16037
RTP,52-C,Metro Santa Martha - Metro Zapata,RUTA TRAZADA,3,,f27b0d,,0,ROUTE_16052
RTP,110-B,San Lorenzo Acopilco - Metro Tacubaya,RUTA TRAZADA,3,,f27b0d,,0,ROUTE_16250
RTP,39-B,Bosque de Nativitas - Metro San Lázaro Por Miramontes,RUTA TRAZADA,3,,f27b0d,,0,ROUTE_16590
RTP,141,Villa Milpa Alta - Metro Tasqueña ,RUTA TRAZADA,3,,f27b0d,,0,ROUTE_16876
RTP,13-A,Metro Chapultepec - Torres de Padierna/Pedregal de San Nicolás,RUTA TRAZADA,3,,f27b0d,,0,ROUTE_16976
RTP,108,Colonia El Tepetatal (El Charco)  -  Metro Indios Verdes,RUTA TRAZADA,3,,f27b0d,,0,ROUTE_17042
RTP,27-A,Reclusorio Norte - Metro Hidalgo/Alameda Central,RUTA TRAZADA,3,,f27b0d,,0,ROUTE_17317
RTP,163-A,San Miguel Teotongo/Torres  -  Metro Zaragoza/M. Tepalcates,RUTA TRAZADA,3,,f27b0d,,0,ROUTE_17593
RTP,76,Centro Comercial Santa Fe -  La Villa/Cantera por Palmas,RUTA TRAZADA,3,,f27b0d,,0,ROUTE_17605
RTP,104 ,Colonia El Tepetatal (El Charco) -  Metro Potrero,RUTA TRAZADA,3,,f27b0d,,0,ROUTE_18230
RTP,59-A,Metro el Rosario  - Sullivan,RUTA TRAZADA,3,,f27b0d,,0,ROUTE_18235
RTP,17-E,Metro Universidad - San Pedro Martir por Carretera Federal,RUTA TRAZADA,3,,f27b0d,,0,ROUTE_18505
RTP,144,San Pablo Oztotepec -  Xochimilco/Palmas,RUTA TRAZADA,3,,f27b0d,,0,ROUTE_18568
RTP,59,Metro El Rosario - Metro Chapultepec,RUTA TRAZADA,3,,f27b0d,,0,ROUTE_18642
RTP,101-A,Ampliación Malacates -  La Villa/Ferroplaza,RUTA TRAZADA,3,,f27b0d,,0,ROUTE_18715
RTP,165-A,Ejército de Oriente - Metro Constitución de 1917,RUTA TRAZADA,3,,f71574,,0,ROUTE_18832
RTP,76-A,Centro Comercial Santa Fe - La Villa/Cantera por Reforma,RUTA TRAZADA,3,,f27b0d,,0,ROUTE_19199
RTP,103,Ampliación Malacates - Metro la Raza (Linea 3),RUTA TRAZADA,3,,f27b0d,,0,ROUTE_19206
RTP,200,Circuito Bicentenario,RUTA TRAZADA,3,,339c19,,0,ROUTE_19210
RTP,101-B,Colonia Forestal - La Villa Ferroplaza ,RUTA TRAZADA,3,,f27b0d,,0,ROUTE_19215
RTP,143,Villa Milpa Alta - Metro Tasqueña,RUTA TRAZADA,3,,f27b0d,,0,ROUTE_19217
RTP,37,U.C.T.M. Atzacoalco - Carmen Serdán,RUTA TRAZADA,3,,f27b0d,,0,ROUTE_19280
RTP,101-D,La Brecha Cocoyotes - La Villa / Ferroplaza,RUTA TRAZADA,3,,f27b0d,,0,ROUTE_19293
RTP,102,La Brecha Cocoyotes - Metro Indios Verdes,RUTA TRAZADA,3,,f27b0d,,0,ROUTE_19300
RTP,131,Estadio Azteca - Caseta Cuernavaca,RUTA TRAZADA,3,,f27b0d,,0,ROUTE_19461
RTP,110-C,La Pila - Metro Tacubaya,RUTA TRAZADA,3,,f27b0d,,0,ROUTE_19766
RTP,18,Metro Cuatro Caminos -  Colonia Moctezuma 2da. Sección,RUTA TRAZADA,3,,f27b0d,,0,ROUTE_19799
RTP,9-C,Centro Comercial Santa Fe  - Tlacuitlapa/Puerta Grande,RUTA TRAZADA,3,,f27b0d,,0,ROUTE_20214
RTP,159,Metro Constitución de 1917 - Palmitas,RUTA TRAZADA,3,,f27b0d,,0,ROUTE_20341
RTP,101,Lomas de Cuautepec - Metro Indios Verdes,RUTA TRAZADA,3,,f27b0d,,0,ROUTE_20360
RTP,142,Tulyehualco - Xochimilco/Palmas,RUTA TRAZADA,3,,f27b0d,,0,ROUTE_20475
RTP,149,Mixquic - Metro Tasqueña ,RUTA TRAZADA,3,,f27b0d,,0,ROUTE_20649
RTP,148,San Nicolás Tetelco - Metro Tasqueña ,RUTA TRAZADA,3,,f27b0d,,0,ROUTE_20967
RTP,144-C,San Salvador Cuahutenco - Villa Milpa Alta,RUTA TRAZADA,3,,f27b0d,,0,ROUTE_21002
RTP,161-D,Colonia Buenavista - Central de Abasto,RUTA TRAZADA,3,,f27b0d,,0,ROUTE_21004
RTP,147,San Bartolomé Xicomulco - Xochimilco/Palmas,RUTA TRAZADA,3,,f27b0d,,0,ROUTE_21169
RTP,110,Chimalpa - Metro Tacubaya,RUTA TRAZADA,3,,f27b0d,,0,ROUTE_21188
RTP,33,Puente Negro - Metro Chabacano,RUTA TRAZADA,3,,f27b0d,,0,ROUTE_21324
RTP,145,Pedregal de San Francisco - Xochimilco/Palmas,RUTA TRAZADA,3,,f27b0d,,0,ROUTE_21341
RTP,123-A,Pedregal de San Nicolás - Metro Universidad,RUTA TRAZADA,3,,f27b0d,,0,ROUTE_21369
RTP,146,San Miguel Tehuizco - Xochimilco/Palmas,RUTA TRAZADA,3,,f27b0d,,0,ROUTE_21668
RTP,163,San Miguel Teotongo/Guadalupe  -  Metro Zaragoza,RUTA TRAZADA,3,,f27b0d,,0,ROUTE_21739
