from_stop_id,to_stop_id,transfer_type
STOP_14139,STOP_14157,0
STOP_14162,STOP_14141,0
STOP_14109,STOP_14058,0
STOP_14155,STOP_14145,0
STOP_14159,STOP_14155,0
STOP_14159,STOP_14145,0
STOP_14190,STOP_14187,0
STOP_14169,STOP_14165,0
STOP_14166,STOP_14164,0
STOP_14168,STOP_14167,0
STOP_14175,STOP_14144,0
STOP_14103,STOP_14099,0
STOP_14182,STOP_14051,0
STOP_14226,STOP_14216,0
STOP_14214,STOP_14226,0
STOP_14214,STOP_14216,0
STOP_14215,STOP_14214,0
STOP_14215,STOP_14226,0
STOP_14137,STOP_14161,0
STOP_14178,STOP_14064,0
STOP_14112,STOP_14108,0
STOP_14062,STOP_14054,0
STOP_14122,STOP_14062,0
STOP_14122,STOP_14054,0
STOP_14157,STOP_14139,0
STOP_14141,STOP_14162,0
STOP_14058,STOP_14109,0
STOP_14145,STOP_14155,0
STOP_14155,STOP_14159,0
STOP_14145,STOP_14159,0
STOP_14187,STOP_14190,0
STOP_14165,STOP_14169,0
STOP_14164,STOP_14166,0
STOP_14167,STOP_14168,0
STOP_14144,STOP_14175,0
STOP_14099,STOP_14103,0
STOP_14051,STOP_14182,0
STOP_14216,STOP_14226,0
STOP_14226,STOP_14214,0
STOP_14216,STOP_14214,0
STOP_14214,STOP_14215,0
STOP_14226,STOP_14215,0
STOP_14161,STOP_14137,0
STOP_14064,STOP_14178,0
STOP_14108,STOP_14112,0
STOP_14054,STOP_14062,0
STOP_14062,STOP_14122,0
STOP_14054,STOP_14122,0
