route_id,service_id,trip_short_name,trip_headsign,route_short_name,direction_id,block_id,shape_id,wheelchair_accessible,trip_bikes_allowed,trip_id
ROUTE_18226,36479,,Indios Verdes - El Caminero,1,,,36477,0,0,38834
ROUTE_18226,36479,,El Caminero - Indios Verdes ,1,,,36643,0,0,38836
ROUTE_18226,36479,,Indios Verdes - Dr. Gálvez,1,,,37105,0,0,38861
ROUTE_18226,36479,,Indios Verdes - Dr. Gálvez,1,,,37105,0,0,38865
ROUTE_18226,36479,,Indios Verdes - Dr. Gálvez,1,,,37105,0,0,38866
ROUTE_18226,36479,,Dr. Gálvez - Indios Verdes,1,,,37162,0,0,38867
ROUTE_18226,36479,,Dr. Gálvez - Indios Verdes,1,,,37162,0,0,38868
ROUTE_18226,36479,,Dr. Gálvez - Indios Verdes,1,,,37162,0,0,38869
ROUTE_18226,36479,,Indios Verdes - Glorieta de Los Insurgentes,1,,,36720,0,0,38873
ROUTE_18226,36479,,Glorieta de Los Insurgentes - Indios Verdes,1,,,36819,0,0,38874
ROUTE_18226,36479,,Buenavista 2 - El Caminero,1,,,36964,0,0,38876
ROUTE_18226,36479,,El Caminero - Buenavista 2,1,,,36915,0,0,38878
ROUTE_36644,36479,,Etiopía - Tenayuca,3,,,36711,0,0,38883
ROUTE_36644,36479,,Tenayuca - Etiopía,3,,,36678,0,0,38885
ROUTE_36644,36479,,Tenayuca - Buenavista 3,3,,,37382,0,0,38886
ROUTE_36644,36479,,Buenavista 3 - Tenayuca,3,,,37489,0,0,38887
ROUTE_36644,36479,,Tenayuca - La Raza,3,,,37410,0,0,38889
ROUTE_36644,36479,,La Raza - Tenayuca,3,,,37516,0,0,38890
ROUTE_36644,36479,,Tenayuca - Balderas,3,,,37348,0,0,38892
ROUTE_36644,36479,,Balderas - Tenayuca,3,,,37456,0,0,38894
ROUTE_36644,38501,,Tenayuca - Etiopía,3,,,36678,0,0,38900
ROUTE_36644,38501,,Tenayuca - Etiopía,3,,,36678,0,0,38902
ROUTE_36644,38501,,Tenayuca - Etiopía,3,,,36678,0,0,38903
ROUTE_36644,38501,,Etiopía - Tenayuca,3,,,36711,0,0,38905
ROUTE_36644,38501,,Etiopía - Tenayuca,3,,,36711,0,0,38906
ROUTE_36644,38501,,Etiopía - Tenayuca,3,,,36711,0,0,38907
ROUTE_36644,38501,,Tenayuca - Buenavista 3,3,,,37382,0,0,38908
ROUTE_36644,38501,,Tenayuca - Buenavista 3,3,,,37382,0,0,38909
ROUTE_36644,38501,,Tenayuca - Buenavista 3,3,,,37382,0,0,38910
ROUTE_36644,38501,,Buenavista 3 - Tenayuca,3,,,37489,0,0,38912
ROUTE_36644,38501,,Buenavista 3 - Tenayuca,3,,,37489,0,0,38913
ROUTE_36644,38501,,Buenavista 3 - Tenayuca,3,,,37489,0,0,38915
ROUTE_36644,38501,,Tenayuca - La Raza,3,,,37410,0,0,38916
ROUTE_36644,38501,,Tenayuca - La Raza,3,,,37410,0,0,38917
ROUTE_36644,38501,,La Raza - Tenayuca,3,,,37516,0,0,38918
ROUTE_36644,38501,,La Raza - Tenayuca,3,,,37516,0,0,38919
ROUTE_36644,38504,,Tenayuca - Etiopía,3,,,36678,0,0,38927
ROUTE_36644,38504,,Tenayuca - Etiopía,3,,,36678,0,0,38929
ROUTE_36644,38504,,Tenayuca - Etiopía,3,,,36678,0,0,38933
ROUTE_36644,38504,,Etiopía - Tenayuca,3,,,36711,0,0,38938
ROUTE_36644,38504,,Etiopía - Tenayuca,3,,,36711,0,0,38941
ROUTE_36644,38504,,Etiopía - Tenayuca,3,,,36711,0,0,38944
ROUTE_36644,38504,,Tenayuca - Buenavista 3,3,,,37382,0,0,38947
ROUTE_36712,36479,,Buenavista - San Lázaro Circuito Norte,4,,,37792,0,0,38971
ROUTE_36712,36479,,Buenavista - San Lázaro Circuito Norte,4,,,37792,0,0,38978
ROUTE_36712,36479,,Buenavista - San Lázaro Circuito Norte,4,,,37792,0,0,38982
ROUTE_36712,36479,,Buenavista - San Lázaro Circuito Sur,4,,,37578,0,0,38991
ROUTE_36712,36479,,Buenavista - San Lázaro Circuito Sur,4,,,37578,0,0,38994
ROUTE_36712,36479,,Buenavista - San Lázaro Circuito Sur,4,,,37578,0,0,38998
ROUTE_36712,36479,,Buenavista -San Lázaro - AICM T1 y T2,4,,,37845,0,0,39003
ROUTE_36712,38501,,Buenavista -San Lázaro - AICM T1 y T2,4,,,37845,0,0,39286
ROUTE_36712,38501,,Buenavista - San Lázaro Circuito Sur,4,,,37578,0,0,39287
ROUTE_36712,38501,,Buenavista - San Lázaro Circuito Sur,4,,,37578,0,0,39288
ROUTE_36712,38501,,Buenavista - San Lázaro Circuito Sur,4,,,37578,0,0,39289
ROUTE_36712,38501,,Buenavista - San Lázaro Circuito Norte,4,,,37792,0,0,39292
ROUTE_36712,38501,,Buenavista - San Lázaro Circuito Norte,4,,,37792,0,0,39293
ROUTE_36712,38501,,Buenavista - San Lázaro Circuito Norte,4,,,37792,0,0,39294
ROUTE_36712,38504,,Buenavista -San Lázaro - AICM T1 y T2,4,,,37845,0,0,39295
ROUTE_36712,38504,,Buenavista - San Lázaro Circuito Sur,4,,,37578,0,0,39296
ROUTE_36712,38504,,Buenavista - San Lázaro Circuito Sur,4,,,37578,0,0,39297
ROUTE_36712,38504,,Buenavista - San Lázaro Circuito Sur,4,,,37578,0,0,39298
ROUTE_36712,38504,,Buenavista - San Lázaro Circuito Norte,4,,,37792,0,0,39299
ROUTE_36712,38504,,Buenavista - San Lázaro Circuito Norte,4,,,37792,0,0,39300
ROUTE_36712,38504,,Buenavista - San Lázaro Circuito Norte,4,,,37792,0,0,39301
ROUTE_18226,38501,,Indios Verdes - El Caminero,1,,,36477,0,0,39302
ROUTE_18226,38501,,El Caminero - Indios Verdes ,1,,,36643,0,0,39303
ROUTE_18226,38501,,Buenavista 2 - El Caminero,1,,,36964,0,0,39304
ROUTE_18226,38501,,El Caminero - Buenavista 2,1,,,36915,0,0,39305
ROUTE_18226,38501,,Indios Verdes - Dr. Gálvez,1,,,37105,0,0,39306
ROUTE_18226,38501,,Dr. Gálvez - Indios Verdes,1,,,37162,0,0,39307
ROUTE_18226,38504,,Indios Verdes - Dr. Gálvez,1,,,37105,0,0,39308
ROUTE_18226,38504,,Dr. Gálvez - Indios Verdes,1,,,37162,0,0,39309
ROUTE_18226,38504,,Buenavista 2 - El Caminero,1,,,36964,0,0,39310
ROUTE_18226,38504,,El Caminero - Buenavista 2,1,,,36915,0,0,39311
ROUTE_18226,38504,,Indios Verdes - El Caminero,1,,,36477,0,0,39312
ROUTE_18226,38504,,El Caminero - Indios Verdes ,1,,,36643,0,0,39313
ROUTE_36644,38504,,Tenayuca - La Raza,3,,,37410,0,0,39314
ROUTE_36644,38504,,La Raza - Tenayuca,3,,,37516,0,0,39315
ROUTE_36644,38504,,Buenavista 3 - Tenayuca,3,,,37489,0,0,39316
ROUTE_36490,36479,,Tepalcates - Tacubaya,2,,,36524,0,0,39320
ROUTE_36490,36479,,Tepalcates - Tacubaya,2,,,36524,0,0,39321
ROUTE_36490,36479,,Tepalcates - Tacubaya,2,,,36524,0,0,39322
ROUTE_36490,36479,,Tacubaya - Tepalcates,2,,,36559,0,0,39323
ROUTE_36490,36479,,Tacubaya - Tepalcates,2,,,36559,0,0,39324
ROUTE_36490,36479,,Tacubaya - Tepalcates,2,,,36559,0,0,39325
ROUTE_36490,36479,,Tepalcates - Etiopía,2,,,37202,0,0,39326
ROUTE_36490,36479,,Tepalcates - Etiopía,2,,,37202,0,0,39327
ROUTE_36490,36479,,Tepalcates - Etiopía,2,,,37202,0,0,39328
ROUTE_36490,36479,,Etiopía - Tepalcates,2,,,37236,0,0,39329
ROUTE_36490,36479,,Etiopía - Tepalcates,2,,,37236,0,0,39330
ROUTE_36490,36479,,Etiopía - Tepalcates,2,,,37236,0,0,39332
ROUTE_36490,36479,,Tepalcates - Col. del Valle,2,,,37272,0,0,39333
ROUTE_36490,36479,,Tepalcates - Col. del Valle,2,,,37272,0,0,39334
ROUTE_36490,36479,,Col. del Valle - Tepalcates,2,,,37311,0,0,39335
ROUTE_36490,36479,,Col. del Valle - Tepalcates,2,,,37311,0,0,39336
ROUTE_36490,38501,,Tepalcates - Tacubaya,2,,,36524,0,0,39338
ROUTE_36490,38501,,Tepalcates - Tacubaya,2,,,36524,0,0,39339
ROUTE_36490,38501,,Tepalcates - Tacubaya,2,,,36524,0,0,39340
ROUTE_36490,38501,,Tacubaya - Tepalcates,2,,,36559,0,0,39343
ROUTE_36490,38501,,Tacubaya - Tepalcates,2,,,36559,0,0,39345
ROUTE_36490,38501,,Tacubaya - Tepalcates,2,,,36559,0,0,39348
ROUTE_36490,38501,,Tepalcates - Etiopía,2,,,37202,0,0,39350
ROUTE_36490,38501,,Etiopía - Tepalcates,2,,,37236,0,0,39351
ROUTE_36490,38501,,Tepalcates - Col. del Valle,2,,,37272,0,0,39352
ROUTE_36490,38501,,Tepalcates - Col. del Valle,2,,,37272,0,0,39353
ROUTE_36490,38501,,Tepalcates - Col. del Valle,2,,,37272,0,0,39354
ROUTE_36490,38501,,Col. del Valle - Tepalcates,2,,,37311,0,0,39355
ROUTE_36490,38501,,Col. del Valle - Tepalcates,2,,,37311,0,0,39356
ROUTE_36490,38501,,Col. del Valle - Tepalcates,2,,,37311,0,0,39357
ROUTE_36490,38504,,Tepalcates - Tacubaya,2,,,36524,0,0,39358
ROUTE_36490,38504,,Tepalcates - Tacubaya,2,,,36524,0,0,39359
ROUTE_36490,38504,,Tepalcates - Tacubaya,2,,,36524,0,0,39360
ROUTE_36490,38504,,Tacubaya - Tepalcates,2,,,36559,0,0,39361
ROUTE_36490,38504,,Tacubaya - Tepalcates,2,,,36559,0,0,39362
ROUTE_36490,38504,,Tacubaya - Tepalcates,2,,,36559,0,0,39363
ROUTE_36490,38504,,Tepalcates - Col. del Valle,2,,,37272,0,0,39364
ROUTE_36490,38504,,Col. del Valle - Tepalcates,2,,,37311,0,0,39365
ROUTE_36490,36479,,Del Moral - Col del Valle,2,,,39495,0,0,39529
ROUTE_36490,36479,,Del Moral - Col del Valle,2,,,39495,0,0,39530
ROUTE_36490,36479,,Del Moral - Col del Valle,2,,,39495,0,0,39531
ROUTE_14243,14741,,Pantitlán -- Observatorio,1,,,14812,0,0,14743
ROUTE_14244,14741,,Tasqueña -- Cuatro Caminos,2,,,14816,0,0,14840
ROUTE_14244,14741,,Cuatro Caminos -- Tasqueña,2,,,14817,0,0,14841
ROUTE_14245,14741,,Universidad -- Indios Verdes,3,,,14818,0,0,14842
ROUTE_14245,14741,,Indios Verdes -- Universidad,3,,,14819,0,0,14843
ROUTE_14246,14741,,Santa Anita -- Martin Carrera,4,,,14820,0,0,14844
ROUTE_14246,14741,,Martín Carrera -- Santa Anita,4,,,14821,0,0,14845
ROUTE_14247,14741,,Politécnico -- Pantitlán,5,,,14822,0,0,14846
ROUTE_14248,14741,,El Rosario -- Martín Carrera,6,,,14824,0,0,14848
ROUTE_14243,14741,,Pantitlán -- Observatorio,1,,,14812,0,0,15171
ROUTE_14243,14741,,Pantitlán -- Observatorio,1,,,14812,0,0,16190
ROUTE_14243,16203,,Pantitlán -- Observatorio,1,,,14812,0,0,16207
ROUTE_14243,14741,,Observatorio -- Pantitlán,1,,,14813,0,0,27033
ROUTE_14243,14741,,Observatorio -- Pantitlán,1,,,14813,0,0,27052
ROUTE_14243,14741,,Observatorio -- Pantitlán,1,,,14813,0,0,27055
ROUTE_14243,28960,,Pantitlán -- Observatorio,1,,,14812,0,0,28945
ROUTE_14244,14741,,Tasqueña -- Cuatro Caminos,2,,,14816,0,0,28992
ROUTE_14244,14741,,Tasqueña -- Cuatro Caminos,2,,,14816,0,0,29001
ROUTE_14244,16203,,Tasqueña -- Cuatro Caminos,2,,,14816,0,0,29058
ROUTE_14244,28960,,Tasqueña -- Cuatro Caminos,2,,,14816,0,0,29075
ROUTE_14244,14741,,Cuatro Caminos -- Tasqueña,2,,,14817,0,0,29114
ROUTE_14244,14741,,Cuatro Caminos -- Tasqueña,2,,,14817,0,0,29155
ROUTE_14244,16203,,Cuatro Caminos -- Tasqueña,2,,,14817,0,0,29159
ROUTE_14244,28960,,Cuatro Caminos -- Tasqueña,2,,,14817,0,0,29183
ROUTE_14245,14741,,Universidad -- Indios Verdes,3,,,14818,0,0,29232
ROUTE_14245,14741,,Universidad -- Indios Verdes,3,,,14818,0,0,29250
ROUTE_14245,16203,,Universidad -- Indios Verdes,3,,,14818,0,0,29254
